student_id,name,attendance_percent,avg_assignment_score,study_hours_per_week,behavior_incidents,previous_grade,label
1,Student_1,78.3,89.2,5.8,1,C,OnTrack
2,Student_2,90.4,71.4,2.9,2,B,OnTrack
3,Student_3,84.5,88.2,3.5,3,B,OnTrack
4,Student_4,89.1,87.3,2.4,5,A,OnTrack
5,Student_5,89.2,88.9,3.9,0,A,OnTrack
6,Student_6,71.4,70,10,1,B,OnTrack
7,Student_7,88.2,85.7,3.6,0,D,AtRisk
8,Student_8,87.3,91.3,3.4,5,A,OnTrack
9,Student_9,88.9,81.6,5.8,5,D,OnTrack
10,Student_10,70,84.9,8.8,5,D,OnTrack
11,Student_11,85.7,89.2,5,1,B,OnTrack
12,Student_12,91.3,72.3,3,5,F,AtRisk
13,Student_13,81.6,77.9,5.4,1,B,OnTrack
14,Student_14,84.9,84.1,6.5,2,C,OnTrack
15,Student_15,89.2,80.2,9.1,0,C,OnTrack
16,Student_16,72.3,90.8,6.7,4,A,OnTrack
17,Student_17,77.9,87.9,4.3,0,C,OnTrack
18,Student_18,84.1,81.4,10.3,6,B,OnTrack
19,Student_19,80.2,91.7,7.5,7,B,OnTrack
20,Student_20,90.8,92,4.9,4,A,OnTrack
21,Student_21,87.9,96.2,1.7,2,D,AtRisk
22,Student_22,81.4,98.4,5.2,2,A,OnTrack
23,Student_23,91.7,72.4,3.6,4,C,AtRisk
24,Student_24,92,71.4,5,2,B,OnTrack
25,Student_25,96.2,90.7,4.5,2,B,OnTrack
26,Student_26,98.4,100,8.4,0,C,OnTrack
27,Student_27,72.4,89.6,4.2,0,D,AtRisk
28,Student_28,71.4,87.7,12.9,5,D,OnTrack
29,Student_29,90.7,98.9,5.6,4,D,OnTrack
30,Student_30,100,74.7,3.4,0,A,OnTrack
31,Student_31,89.6,73.2,9.7,2,A,OnTrack
32,Student_32,87.7,63.6,5.2,5,B,OnTrack
33,Student_33,98.9,83.1,1.9,0,C,AtRisk
34,Student_34,74.7,100,4.3,5,A,OnTrack
35,Student_35,73.2,70.8,9.3,3,C,OnTrack
36,Student_36,93.8,73.8,10.3,0,D,OnTrack
37,Student_37,82.8,94.8,11.6,0,D,OnTrack
38,Student_38,100,82.9,3,5,D,AtRisk
39,Student_39,63.6,92.9,9.8,0,C,OnTrack
40,Student_40,83.1,82.3,6.3,0,C,OnTrack
41,Student_41,100,85.5,3.2,5,A,OnTrack
42,Student_42,70.8,96.3,10.4,3,A,OnTrack
43,Student_43,73.8,88.5,4,3,B,OnTrack
44,Student_44,94.8,85.9,5.4,4,C,OnTrack
45,Student_45,82.9,78.1,8.2,4,B,OnTrack
46,Student_46,92.9,92.4,6.4,1,C,OnTrack
47,Student_47,82.3,72.7,3.9,1,C,AtRisk
48,Student_48,85.5,81.1,9.6,5,C,OnTrack
49,Student_49,96.3,91.1,7.2,8,C,OnTrack
50,Student_50,88.5,100,9.2,5,B,OnTrack
51,Student_51,85.9,78.3,0.5,6,A,AtRisk
52,Student_52,78.1,90.4,6.9,2,B,OnTrack
53,Student_53,92.4,84.5,8.5,2,D,OnTrack
54,Student_54,72.7,89.1,10.4,1,A,OnTrack
55,Student_55,81.1,89.2,4.5,1,A,OnTrack
56,Student_56,91.1,71.4,7.7,2,C,OnTrack
57,Student_57,100,88.2,5.4,2,B,OnTrack
58,Student_58,66.2,87.3,1.5,3,B,AtRisk
59,Student_59,64.5,88.9,4.3,7,D,AtRisk
60,Student_60,79.7,70,8.6,3,B,OnTrack
61,Student_61,97.7,85.7,3.5,5,A,OnTrack
62,Student_62,74.3,91.3,7.9,2,B,OnTrack
63,Student_63,81,81.6,6.6,2,C,OnTrack
64,Student_64,100,84.9,5.2,0,D,OnTrack
65,Student_65,78.1,82.9,10.4,1,B,OnTrack
66,Student_66,83.4,92.9,2,0,D,AtRisk
67,Student_67,94,82.3,8.4,0,C,OnTrack
68,Student_68,79,85.5,6.4,0,C,OnTrack
69,Student_69,90.3,96.3,5.9,4,B,OnTrack
70,Student_70,97.4,88.5,6.3,0,B,OnTrack
71,Student_71,93.6,85.9,9.4,0,B,OnTrack
72,Student_72,81.8,78.1,0.5,0,D,AtRisk
73,Student_73,95.5,92.4,1.7,0,A,AtRisk
74,Student_74,90.7,72.7,12.1,0,D,OnTrack
75,Student_75,77.2,81.1,6.9,2,C,OnTrack
76,Student_76,81.9,91.1,8.6,0,A,OnTrack
77,Student_77,74.6,73.2,5.3,0,C,OnTrack
78,Student_78,74.4,93.8,5.6,1,C,OnTrack
79,Student_79,82.9,82.8,4.9,1,B,OnTrack
80,Student_80,76.2,100,10.6,1,B,OnTrack
81,Student_81,91.8,63.6,8.9,5,A,OnTrack
82,Student_82,81.2,83.1,10.9,9,D,OnTrack
83,Student_83,74.5,100,6.9,3,A,OnTrack
84,Student_84,76.7,70.8,2.3,1,B,AtRisk
85,Student_85,62.8,73.8,0.5,0,C,AtRisk
86,Student_86,86.7,94.8,7.5,0,B,OnTrack
87,Student_87,85.7,82.9,7.1,0,C,OnTrack
88,Student_88,85.4,92.9,3.7,0,A,OnTrack
89,Student_89,82,82.3,11.7,2,A,OnTrack
90,Student_90,91,85.5,13.6,0,D,OnTrack
91,Student_91,97.6,96.3,3.6,0,C,OnTrack
92,Student_92,69.7,88.5,4.2,1,A,OnTrack
93,Student_93,89.2,85.9,7.6,1,C,OnTrack
94,Student_94,94.7,78.1,5.4,1,B,OnTrack
95,Student_95,90.2,92.4,4.7,5,D,OnTrack
96,Student_96,78,72.7,2.9,9,A,OnTrack
97,Student_97,82.9,81.1,1.7,3,C,AtRisk
98,Student_98,90.5,91.1,8.9,3,B,OnTrack
99,Student_99,84.6,100,8.5,4,C,OnTrack
100,Student_100,73.3,66.2,7.3,4,F,OnTrack
101,Student_101,81.2,64.5,6.1,1,B,OnTrack
102,Student_102,63.5,79.7,6.3,1,C,OnTrack
103,Student_103,77.9,97.7,7.5,5,C,OnTrack
104,Student_104,81,74.3,2.4,8,C,AtRisk
105,Student_105,94.8,81,2.2,5,C,AtRisk
106,Student_106,66.3,100,5.2,6,C,OnTrack
107,Student_107,84.6,78.1,10.3,2,D,OnTrack
108,Student_108,65.5,83.4,4.2,2,C,AtRisk
109,Student_109,98,94,1.3,1,F,AtRisk
110,Student_110,89.7,79,0.5,1,B,AtRisk
111,Student_111,81.1,90.3,9.3,2,D,OnTrack
112,Student_112,100,97.4,3,2,D,AtRisk
113,Student_113,71.2,93.6,6.2,3,D,OnTrack
114,Student_114,97.7,81.8,3.4,7,D,AtRisk
115,Student_115,68.8,95.5,6.6,3,A,OnTrack
116,Student_116,96.8,90.7,1.2,5,A,AtRisk
117,Student_117,89.5,77.2,2.1,2,C,AtRisk
118,Student_118,86.3,81.9,3.2,2,A,OnTrack
119,Student_119,58.3,74.6,8.8,4,B,OnTrack
120,Student_120,80.4,74.4,6.2,5,A,OnTrack
121,Student_121,89.7,82.9,6.1,6,D,OnTrack
122,Student_122,86.1,76.2,7.4,2,B,OnTrack
123,Student_123,82.9,91.8,7.3,2,C,OnTrack
124,Student_124,75.9,81.2,2.8,1,B,OnTrack
125,Student_125,90.4,90.5,4.1,1,C,OnTrack
126,Student_126,72.8,84.6,4.9,2,C,OnTrack
127,Student_127,71.9,73.3,1.5,2,D,AtRisk
128,Student_128,83.7,81.2,11.4,3,B,OnTrack
129,Student_129,100,63.5,5.6,7,C,OnTrack
130,Student_130,84.1,77.9,4.8,3,D,OnTrack
131,Student_131,82.5,81,7.7,5,A,OnTrack
132,Student_132,87,94.8,2.5,2,C,AtRisk
133,Student_133,100,66.3,1.3,2,C,AtRisk
134,Student_134,88.8,84.6,7.6,0,F,OnTrack
135,Student_135,84.7,65.5,6.8,6,B,OnTrack
136,Student_136,65,98,11.4,7,F,OnTrack
137,Student_137,74.9,89.7,4.8,4,C,OnTrack
138,Student_138,75.1,81.1,5.5,2,C,OnTrack
139,Student_139,100,100,4,2,C,OnTrack
140,Student_140,96,71.2,2.8,4,D,AtRisk
141,Student_141,73.9,97.7,3.4,2,C,AtRisk
142,Student_142,89.8,68.8,4.8,2,F,AtRisk
143,Student_143,93.6,96.8,7.1,0,C,OnTrack
144,Student_144,79.6,89.5,4.8,0,D,OnTrack
145,Student_145,73.6,86.3,0.5,5,C,AtRisk
146,Student_146,97.9,58.3,10,4,B,OnTrack
147,Student_147,72.4,80.4,4.7,0,C,OnTrack
148,Student_148,96.8,89.7,2.8,2,C,AtRisk
149,Student_149,84.7,86.1,12.3,5,A,OnTrack
150,Student_150,86.4,82.9,7,0,B,OnTrack
